micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,3,5,3,7,0.9951845133326775,0.02445083708877962,"SCHH, VNQ, FREL, XLRE, IYR",SCHH | VNQ | FREL | XLRE | IYR,28 | 25 | 29 | 22 | 26
2,3,30,2,34,35,0.8202449263545505,0.04543259146160651,"IEF, TIP",IEF | TIP,49 | 53
3,8,86,2,92,93,0.22431609971368432,0.04591715398906016,"RTX, WMT",RTX | WMT,98 | 113
4,9,100,2,105,106,0.0982013085620763,0.04597969482045109,"VLO, PEP",VLO | PEP,104 | 110
5,9,101,2,107,108,0.971974734870015,0.047709015899143906,"QQQ, XLK",QQQ | XLK,1 | 14
6,9,102,2,110,111,0.2849911866946364,0.0426992159482833,"XLE, XLU",XLE | XLU,16 | 23
7,9,104,4,112,115,0.9966083059325103,0.027724734520898204,"EFA, SPDW, VEA, SCHF",EFA | SPDW | VEA | SCHF,7 | 12 | 9 | 13
8,9,105,4,116,119,0.9974474311980744,0.01957553712231757,"VTI, VOO, SPY, IVV",VTI | VOO | SPY | IVV,5 | 6 | 0 | 4
9,9,106,2,120,121,0.8727989875690106,0.04601151170063167,"ACWI, XLY",ACWI | XLY,11 | 18
10,10,112,2,127,128,0.9951202538826701,0.028149684828379137,"DBC, PDBC",DBC | PDBC,41 | 42
11,10,119,3,135,137,0.9942705654586438,0.024510102570288895,"SCHZ, AGG, BND",SCHZ | AGG | BND,57 | 54 | 55
12,10,120,2,139,140,0.9742383206547308,0.043013863878984225,"LQD, VCIT",LQD | VCIT,50 | 59
13,10,122,2,142,143,0.9468436729521281,0.04660721363123567,"ICLN, TAN",ICLN | TAN,161 | 162
14,10,129,2,149,150,0.9875407977051186,0.030654205513021088,"VWOB, EMB",VWOB | EMB,32 | 35
15,10,130,3,151,153,0.9930147030209008,0.04180138928377191,"VWO, EEM, IEMG",VWO | EEM | IEMG,10 | 8 | 34
